dataset,sample_id,TLS_decile,n_spots,median_TLS_integrated,median_mregDC,median_antigen_presentation_MHCII,mregDC_high_fraction,antigen_presentation_MHCII_high_fraction,TLS_mregDC_cohigh_fraction
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,346,-1.74363551193861,-0.469825432526049,-1.1819269490223,0.00289017341040462,0,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,346,-1.09433740190899,-0.318852436623047,-0.627649898109857,0.00867052023121387,0.023121387283237,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,346,-0.556885869654154,-0.131306512543405,-0.0918525771676593,0.0317919075144509,0.0289017341040462,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,346,-0.227023858192484,-0.0398897190344816,0.133788143093898,0.0375722543352601,0.0895953757225434,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,346,0.0158251013445645,0.0446091965747346,0.213330284900223,0.0520231213872832,0.0953757225433526,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,345,0.234222017060993,0.0888390276849323,0.287232981392921,0.104347826086957,0.110144927536232,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,345,0.423466143735449,0.0987630568104127,0.310518423030926,0.115942028985507,0.121739130434783,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,345,0.643974681042344,0.133092784393072,0.340561295500483,0.156521739130435,0.16231884057971,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,345,0.906313275326177,0.188169750875218,0.36242382869412,0.2,0.185507246376812,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,345,1.35311468437756,0.241398849129298,0.384815347141348,0.292753623188406,0.185507246376812,0.292753623188406
GSE211956,GSM6506110_SP1,1,294,-0.748700512752632,-0.145721411168077,-0.338042997335904,0.0510204081632653,0.0204081632653061,0
GSE211956,GSM6506110_SP1,2,294,-0.647791068070374,-0.0994956336099276,-0.207692379519892,0.102040816326531,0.0510204081632653,0
GSE211956,GSM6506110_SP1,3,294,-0.574395364189191,-0.0707243978213044,-0.223961281017874,0.0476190476190476,0.0238095238095238,0
GSE211956,GSM6506110_SP1,4,294,-0.487951129636718,-0.0713656634506485,-0.228102044513069,0.0408163265306122,0.0204081632653061,0
GSE211956,GSM6506110_SP1,5,294,-0.342372778996871,-0.0534634252912683,-0.145974138969108,0.0476190476190476,0.0510204081632653,0
GSE211956,GSM6506110_SP1,6,294,-0.179056186404213,-0.0535890780215373,-0.133971459668651,0.0714285714285714,0.0680272108843538,0
GSE211956,GSM6506110_SP1,7,294,0.0104543398024103,-0.0657745896265739,-0.0298599924163108,0.0612244897959184,0.0952380952380952,0
GSE211956,GSM6506110_SP1,8,294,0.255767400293447,-0.063952196537481,0.0692711393807261,0.115646258503401,0.112244897959184,0
GSE211956,GSM6506110_SP1,9,294,0.651584752886365,-0.0460491489718405,0.114199465608062,0.163265306122449,0.159863945578231,0
GSE211956,GSM6506110_SP1,10,294,1.60916275889583,0.077849030000009,0.504469100952161,0.299319727891156,0.397959183673469,0.299319727891156
GSE211956,GSM6506111_SP2,1,194,-1.33435620330597,-0.0903335727066212,-0.349599845476831,0.0154639175257732,0,0
GSE211956,GSM6506111_SP2,2,194,-0.885241414902621,-0.112712312886509,-0.213786962552968,0.0515463917525773,0.0257731958762887,0
GSE211956,GSM6506111_SP2,3,194,-0.588503846445815,-0.108530235729887,-0.130860900207381,0.0515463917525773,0.0463917525773196,0
GSE211956,GSM6506111_SP2,4,194,-0.352066362291121,-0.0936554208209107,-0.145591505993269,0.0618556701030928,0.0463917525773196,0
GSE211956,GSM6506111_SP2,5,194,-0.136561237799861,-0.0573909209114557,-0.114235531095575,0.0463917525773196,0.0360824742268041,0
GSE211956,GSM6506111_SP2,6,193,0.0600081887309185,-0.0177452871462317,-0.0336718626460636,0.0932642487046632,0.0880829015544041,0
GSE211956,GSM6506111_SP2,7,193,0.286870491119525,-0.0393828870937088,-0.0131744680533484,0.119170984455959,0.0932642487046632,0
GSE211956,GSM6506111_SP2,8,193,0.556209875617641,-0.0091196561431368,0.127160715621067,0.129533678756477,0.160621761658031,0
GSE211956,GSM6506111_SP2,9,193,0.876242169729616,0.0662885156114722,0.219862878289339,0.170984455958549,0.176165803108808,0
GSE211956,GSM6506111_SP2,10,193,1.4691989880154,0.144704187193425,0.355898002866301,0.264248704663212,0.33160621761658,0.264248704663212
GSE211956,GSM6506112_SP3,1,151,-0.856313735825922,-0.162544109983894,-0.530383850799433,0.0264900662251656,0,0
GSE211956,GSM6506112_SP3,2,151,-0.717954579068138,-0.0853473350634529,-0.442970945801659,0.0596026490066225,0,0
GSE211956,GSM6506112_SP3,3,151,-0.577897464323524,-0.0723001121364319,-0.17093206606826,0.033112582781457,0.0397350993377483,0
GSE211956,GSM6506112_SP3,4,151,-0.421566013428213,-0.0765878699479513,-0.149640507840389,0.0794701986754967,0.0529801324503311,0
GSE211956,GSM6506112_SP3,5,150,-0.276431825304872,-0.0857528386553564,-0.0802272005412834,0.06,0.0466666666666667,0
GSE211956,GSM6506112_SP3,6,150,-0.127641019622187,-0.0666518464007045,-0.0473720766293519,0.06,0.106666666666667,0
GSE211956,GSM6506112_SP3,7,150,0.0514102221091381,-0.0683167389258229,-0.0142278659280286,0.0266666666666667,0.14,0
GSE211956,GSM6506112_SP3,8,150,0.337180348232768,-0.00351292709254484,0.0710002236590677,0.146666666666667,0.113333333333333,0
GSE211956,GSM6506112_SP3,9,150,0.72595830067395,-0.0399112679500056,0.236769315809262,0.153333333333333,0.14,0
GSE211956,GSM6506112_SP3,10,150,1.56697558684628,0.204271220687655,0.599127534347951,0.36,0.366666666666667,0.36
GSE211956,GSM6506113_SP4,1,301,-0.495916567688496,-0.0755536449300457,-0.165052787364893,0.0930232558139535,0.0498338870431894,0
GSE211956,GSM6506113_SP4,2,301,-0.396712324539622,-0.051731345684891,-0.0783631771021159,0.122923588039867,0.0897009966777409,0
GSE211956,GSM6506113_SP4,3,301,-0.34952805186764,-0.0841228665370027,-0.0352702364467891,0.079734219269103,0.0897009966777409,0
GSE211956,GSM6506113_SP4,4,301,-0.313202947648015,-0.0847698488380786,-0.0201300763734198,0.0963455149501661,0.053156146179402,0
GSE211956,GSM6506113_SP4,5,301,-0.275359971162501,-0.0758086153762619,-0.0149453035406924,0.119601328903655,0.122923588039867,0
GSE211956,GSM6506113_SP4,6,301,-0.22560037313067,-0.0860580067294988,0.0241874592262025,0.0897009966777409,0.109634551495017,0
GSE211956,GSM6506113_SP4,7,301,-0.171642951533298,-0.0998337799189443,0.0602898182563866,0.0963455149501661,0.136212624584718,0
GSE211956,GSM6506113_SP4,8,300,-0.108343358109722,-0.0620347391657188,0.0255835936720066,0.07,0.12,0
GSE211956,GSM6506113_SP4,9,300,0.233303310602014,-0.0416991658128513,0.014880261451277,0.103333333333333,0.12,0
GSE211956,GSM6506113_SP4,10,300,1.49370731505327,-0.0595642238188975,-0.0246794579287479,0.13,0.11,0.13
GSE211956,GSM6506114_SP5,1,213,-1.12799408159887,-0.200631121655562,-0.312139395409224,0.0469483568075117,0.00469483568075117,0
GSE211956,GSM6506114_SP5,2,213,-0.789378541283402,-0.106858481639223,-0.0238464946492958,0.0563380281690141,0.0563380281690141,0
GSE211956,GSM6506114_SP5,3,213,-0.578005272760105,-0.0853914424580987,-0.0131649157196767,0.0469483568075117,0.0563380281690141,0
GSE211956,GSM6506114_SP5,4,213,-0.410778534075735,-0.0285912720838246,0.0811921964610971,0.0328638497652582,0.0985915492957746,0
GSE211956,GSM6506114_SP5,5,212,-0.219532685662843,-0.0476685228105492,0.0860352347453798,0.0754716981132076,0.0990566037735849,0
GSE211956,GSM6506114_SP5,6,212,-0.0478974466225522,-0.012480790847876,0.109132985693512,0.089622641509434,0.117924528301887,0
GSE211956,GSM6506114_SP5,7,212,0.140170067748472,-0.0351212824447208,0.145483605895919,0.0707547169811321,0.150943396226415,0
GSE211956,GSM6506114_SP5,8,212,0.420407710847498,0.0181874059955661,0.219244433520225,0.122641509433962,0.179245283018868,0
GSE211956,GSM6506114_SP5,9,212,0.868640762065398,0.0550013759858337,0.113090612248703,0.113207547169811,0.136792452830189,0.00471698113207547
GSE211956,GSM6506114_SP5,10,212,1.60830953153162,0.235376023909288,0.11489713265766,0.349056603773585,0.10377358490566,0.349056603773585
GSE211956,GSM6506115_SP6,1,181,-1.04791100247117,-0.0102417223946502,-0.330133400936467,0.0441988950276243,0.0276243093922652,0
GSE211956,GSM6506115_SP6,2,180,-0.805979335775677,-0.0623664104958954,-0.19970294255812,0.0666666666666667,0.0277777777777778,0
GSE211956,GSM6506115_SP6,3,180,-0.596094715405753,-0.0602946701792417,-0.210467133613895,0.1,0.0444444444444444,0
GSE211956,GSM6506115_SP6,4,180,-0.412689364715277,-0.0518253613687889,-0.144561625805073,0.0833333333333333,0.0444444444444444,0
GSE211956,GSM6506115_SP6,5,180,-0.224102116196952,-0.0728341870149455,-0.155121002459174,0.0722222222222222,0.0555555555555556,0
GSE211956,GSM6506115_SP6,6,180,-0.00813018806999536,-0.0857225201597666,-0.106472304643002,0.0777777777777778,0.0722222222222222,0
GSE211956,GSM6506115_SP6,7,180,0.177594986965276,-0.0553950204132538,-0.127222411849129,0.111111111111111,0.0833333333333333,0
GSE211956,GSM6506115_SP6,8,180,0.422921720416729,-0.0431675479911099,-0.00433591202117739,0.0833333333333333,0.133333333333333,0
GSE211956,GSM6506115_SP6,9,180,0.716349050498188,-0.0776361270744198,0.19409325918134,0.0888888888888889,0.155555555555556,0
GSE211956,GSM6506115_SP6,10,180,1.53535910867729,0.0924777424494234,0.640022338816759,0.277777777777778,0.361111111111111,0.277777777777778
GSE211956,GSM6506116_SP7,1,364,-0.66891099546623,-0.264718182163954,-0.231775687753891,0.0576923076923077,0.043956043956044,0
GSE211956,GSM6506116_SP7,2,364,-0.552868154959362,-0.0883214107823604,-0.07057652100315,0.0741758241758242,0.0631868131868132,0
GSE211956,GSM6506116_SP7,3,363,-0.505975156135147,-0.0626608374507577,-0.0616515643069095,0.0881542699724518,0.0716253443526171,0
GSE211956,GSM6506116_SP7,4,363,-0.440522182515301,-0.042203821496592,-0.0140850905090793,0.0743801652892562,0.0578512396694215,0
GSE211956,GSM6506116_SP7,5,363,-0.36153561180627,-0.0450185934735759,0.0132187662760783,0.0523415977961433,0.101928374655647,0
GSE211956,GSM6506116_SP7,6,363,-0.249029810409806,-0.0527869458003723,0.0225678938548168,0.0716253443526171,0.0743801652892562,0
GSE211956,GSM6506116_SP7,7,363,-0.0866795975256927,-0.0146707182618642,0.0462605622234648,0.110192837465565,0.110192837465565,0
GSE211956,GSM6506116_SP7,8,363,0.151338017756321,-0.0235165768530897,0.0635295108812015,0.0964187327823691,0.118457300275482,0
GSE211956,GSM6506116_SP7,9,363,0.542268685647952,0.00695586449742683,0.0264644146843836,0.154269972451791,0.148760330578512,0
GSE211956,GSM6506116_SP7,10,363,1.71175158874699,0.0394186716688667,0.115179269615314,0.223140495867769,0.212121212121212,0.223140495867769
GSE211956,GSM6506117_SP8,1,318,-0.915234372270951,-0.156521513849513,-0.264424730519243,0.050314465408805,0.0314465408805031,0
GSE211956,GSM6506117_SP8,2,318,-0.765495842142701,-0.102438478568767,-0.233746146891091,0.0628930817610063,0.0440251572327044,0
GSE211956,GSM6506117_SP8,3,318,-0.609125793725855,-0.107063702964504,-0.159395013327276,0.0534591194968554,0.0314465408805031,0
GSE211956,GSM6506117_SP8,4,318,-0.461117857737985,-0.0750894543816287,-0.111701517275274,0.0817610062893082,0.050314465408805,0
GSE211956,GSM6506117_SP8,5,318,-0.303416599393525,-0.0806702376038206,-0.136072644444776,0.0440251572327044,0.0723270440251572,0
GSE211956,GSM6506117_SP8,6,318,-0.136575513182128,-0.0520933973462919,-0.0888881577576747,0.0723270440251572,0.0911949685534591,0
GSE211956,GSM6506117_SP8,7,318,0.0806586634234753,-0.00990536259663302,0.0166670536435855,0.0817610062893082,0.0943396226415094,0
GSE211956,GSM6506117_SP8,8,318,0.332293367587974,-0.0302250212804468,0.0525429904594916,0.119496855345912,0.138364779874214,0
GSE211956,GSM6506117_SP8,9,318,0.735666248399102,0.0056634856206394,0.174528477710928,0.160377358490566,0.163522012578616,0
GSE211956,GSM6506117_SP8,10,318,1.69317050695006,0.088328892169139,0.279190436384488,0.273584905660377,0.283018867924528,0.273584905660377
GSE224335,GSM7019835_OCCR2v,1,152,-0.68214495949543,-0.127774515796662,-0.12399163628199,0.0723684210526316,0.0921052631578947,0
GSE224335,GSM7019835_OCCR2v,2,152,-0.553983514159965,-0.0469221686808176,-0.156035934591829,0.0592105263157895,0.0460526315789474,0
GSE224335,GSM7019835_OCCR2v,3,152,-0.476696292960744,-0.0697806413890462,-0.172083693861793,0.105263157894737,0.0394736842105263,0
GSE224335,GSM7019835_OCCR2v,4,152,-0.390181170203809,-0.0552441670035557,-0.131149890709047,0.0986842105263158,0.0460526315789474,0
GSE224335,GSM7019835_OCCR2v,5,151,-0.300479138319062,-0.0759209423331851,-0.141618859217929,0.0860927152317881,0.0662251655629139,0
GSE224335,GSM7019835_OCCR2v,6,151,-0.198154026422431,-0.0513790496714774,-0.0571021160213614,0.145695364238411,0.0662251655629139,0
GSE224335,GSM7019835_OCCR2v,7,151,-0.0268034378169324,-0.0396901196007128,-0.0396643478159224,0.0794701986754967,0.0728476821192053,0
GSE224335,GSM7019835_OCCR2v,8,151,0.191267545604767,-0.0351704067833202,-0.0263464161376701,0.105960264900662,0.112582781456954,0
GSE224335,GSM7019835_OCCR2v,9,151,0.522751874905147,-0.0457077721460074,0.0358334815762374,0.105960264900662,0.178807947019868,0
GSE224335,GSM7019835_OCCR2v,10,151,1.45441709118347,-0.0215888074523269,0.211212729086169,0.145695364238411,0.28476821192053,0.145695364238411
GSE224335,GSM7019836_OCCS3v,1,90,-0.71091205516158,-0.0565535567681524,-0.171214441814229,0.133333333333333,0.0444444444444444,0
GSE224335,GSM7019836_OCCS3v,2,90,-0.619334358911939,-0.0703500956783996,-0.0207557294100399,0.0777777777777778,0.1,0
GSE224335,GSM7019836_OCCS3v,3,90,-0.52401541566339,-0.0786008745143285,0.0163276785599408,0.0555555555555556,0.0333333333333333,0
GSE224335,GSM7019836_OCCS3v,4,90,-0.446843855187324,-0.0993098000450531,0.0594803039394875,0.0444444444444444,0.133333333333333,0
GSE224335,GSM7019836_OCCS3v,5,90,-0.321442063294475,-0.100968110167153,0.00526738374848786,0.0555555555555556,0.0777777777777778,0
GSE224335,GSM7019836_OCCS3v,6,90,-0.196431331049172,-0.028787762604761,0.0132846011084988,0.122222222222222,0.133333333333333,0
GSE224335,GSM7019836_OCCS3v,7,90,-0.0505928056856651,-0.0621027814801806,-0.125184972321693,0.0888888888888889,0.0555555555555556,0
GSE224335,GSM7019836_OCCS3v,8,90,0.295902725839323,-0.050294260107967,0.0167725703177718,0.1,0.133333333333333,0
GSE224335,GSM7019836_OCCS3v,9,89,0.678333826701732,-0.0510111402133012,0.0420532664293848,0.168539325842697,0.134831460674157,0.0112359550561798
GSE224335,GSM7019836_OCCS3v,10,89,1.47748259336143,-0.0186270564693754,0.018373492851874,0.157303370786517,0.157303370786517,0.157303370786517
GSE274657,GSM8454234_Patient_2,1,154,-0.863101316987859,-0.329021687489004,-0.393769777293127,0,0.0194805194805195,0
GSE274657,GSM8454234_Patient_2,2,154,-0.71703424151662,-0.289877352329718,-0.305218420774744,0.00649350649350649,0,0
GSE274657,GSM8454234_Patient_2,3,154,-0.582399208806663,-0.25301640420814,-0.178798148123564,0.0194805194805195,0.012987012987013,0
