distance_bin,distance_mid_um,program,n_cells,median_score,mean_score,se_score,lower95,upper95
0-50,27.61253407758081,TLS_integrated,88308,-0.08838780025696436,0.11067492217635334,0.001716205657720466,0.10731115908722123,0.11403868526548545
0-50,27.61253407758081,mregDC,88308,-0.08143928000128539,0.03211737256072827,0.0013470142690789725,0.029477224593333483,0.03475752052812305
0-50,27.61253407758081,AP_MHCII_proxy,88308,-0.17608969851103667,0.05676532859094992,0.002047165802955045,0.05275288361715803,0.0607777735647418
0-50,27.61253407758081,IFN_response,88308,-0.15740122242167007,0.09957861320929244,0.0028621597783328855,0.09396878004375998,0.1051884463748249
0-50,27.61253407758081,TLS_chemokine,88308,-0.1088472625413905,0.11892802698812924,0.0023760628862056934,0.11427094373116609,0.12358511024509239
0-50,27.61253407758081,tumor_proliferation,88308,-0.2651848279886006,-0.05699062068635992,0.0016705362554484354,-0.06026487174703885,-0.053716369625680986
0-50,27.61253407758081,tumor_EMT_invasion,88308,-0.1488584423960205,0.09442116103968168,0.002017378422820598,0.0904670993309533,0.09837522274841005
50-100,74.4517951551357,TLS_integrated,94766,-0.08838780025696436,-0.0219851734328414,0.0008214244068176253,-0.023595165270203944,-0.020375181595478853
50-100,74.4517951551357,mregDC,94766,-0.08143928000128539,0.0005262251569392325,0.0010216136993051637,-0.0014761376936988885,0.0025285880075773533
50-100,74.4517951551357,AP_MHCII_proxy,94766,-0.17608969851103667,0.011438113584244661,0.0016688370833512231,0.008167192900876264,0.014709034267613058
50-100,74.4517951551357,IFN_response,94766,-0.15740122242167007,0.006320257719176132,0.0016956390559946931,0.0029968051694265335,0.00964371026892573
50-100,74.4517951551357,TLS_chemokine,94766,-0.1088472625413905,-0.016160238941613253,0.0013078189521432261,-0.018723564087813976,-0.01359691379541253
50-100,74.4517951551357,tumor_proliferation,94766,-0.2651848279886006,0.047472002560435385,0.0019359659047958422,0.04367750938703553,0.05126649573383524
50-100,74.4517951551357,tumor_EMT_invasion,94766,-0.1488584423960205,-0.003454389346206134,0.0015342627153375886,-0.006461544268267807,-0.0004472344241444608
100-150,123.53061049675577,TLS_integrated,81778,-0.08838780025696436,-0.03044514824773503,0.0008478467169925136,-0.03210692781304036,-0.028783368682429703
100-150,123.53061049675577,mregDC,81778,-0.08143928000128539,-0.006326016004840035,0.0010625796103798102,-0.008408672041184463,-0.004243359968495607
100-150,123.53061049675577,AP_MHCII_proxy,81778,-0.17608969851103667,-0.010207642162896852,0.001677700872314687,-0.013495935872633638,-0.0069193484531600655
100-150,123.53061049675577,IFN_response,81778,-0.15740122242167007,-0.02493704578369108,0.0014018043166105843,-0.027684582244247823,-0.022189509323134335
100-150,123.53061049675577,TLS_chemokine,81778,-0.1088472625413905,-0.033824137633851004,0.0012959629113699954,-0.03636422494013619,-0.031284050327565815
100-150,123.53061049675577,tumor_proliferation,81778,-0.2651848279886006,0.049444862801808105,0.002096579213968543,0.04533556754242976,0.05355415806118645
100-150,123.53061049675577,tumor_EMT_invasion,81778,-0.1488584423960205,-0.03328382038162697,0.0014568913463933848,-0.036139327420558004,-0.03042831334269594
150-200,172.54002876987911,TLS_integrated,59007,-0.08838780025696436,-0.03430754620376314,0.0009715230585298389,-0.03621173139848163,-0.03240336100904465
150-200,172.54002876987911,mregDC,59007,-0.08143928000128539,-0.012512447556011939,0.0011828603100472108,-0.014830853763704473,-0.010194041348319405
150-200,172.54002876987911,AP_MHCII_proxy,59007,-0.17608969851103667,-0.02518064345305058,0.0019177697624331873,-0.028939472187419626,-0.021421814718681532
150-200,172.54002876987911,IFN_response,59007,-0.15740122242167007,-0.04395857873647344,0.001441289202826909,-0.046783505574014186,-0.0411336518989327
150-200,172.54002876987911,TLS_chemokine,59007,-0.1088472625413905,-0.041373080293701764,0.0014314250486080456,-0.044178673388973536,-0.03856748719842999
150-200,172.54002876987911,tumor_proliferation,59007,-0.2651848279886006,0.014316571234598159,0.0023519149300642687,0.009706817971672194,0.018926324497524124
150-200,172.54002876987911,tumor_EMT_invasion,59007,-0.1488584423960205,-0.03441074768933835,0.0017235998869377074,-0.037789003467736254,-0.031032491910940443
200-300,236.56211873070094,TLS_integrated,60166,-0.08838780025696436,-0.03825803486684486,0.0009373612414932895,-0.04009526290017171,-0.03642080683351802
200-300,236.56211873070094,mregDC,60166,-0.08143928000128539,-0.018468493368259616,0.0011483782166539535,-0.020719314672901366,-0.016217672063617867
200-300,236.56211873070094,AP_MHCII_proxy,60166,-0.17608969851103667,-0.04234354932653681,0.0018194892996657123,-0.045909748353881605,-0.03877735029919202
200-300,236.56211873070094,IFN_response,60166,-0.15740122242167007,-0.05340314270163107,0.0013419464432306459,-0.05603335773036314,-0.05077292767289901
200-300,236.56211873070094,TLS_chemokine,60166,-0.1088472625413905,-0.046717285264644116,0.001363444991526181,-0.04938963744803543,-0.044044933081252804
200-300,236.56211873070094,tumor_proliferation,60166,-0.2651848279886006,-0.027408350703915032,0.002188757272103695,-0.03169831495723827,-0.02311838645059179
200-300,236.56211873070094,tumor_EMT_invasion,60166,-0.1488584423960205,-0.03668615708971348,0.0016926465808096008,-0.040003744388100296,-0.03336856979132666
300-450,342.3103032211574,TLS_integrated,19377,-0.08838780025696436,-0.037320035561529165,0.0016412752048651997,-0.04053693496306496,-0.03410313615999337
300-450,342.3103032211574,mregDC,19377,-0.08143928000128539,-0.022845861574150386,0.00201826807395446,-0.026801666999101127,-0.018890056149199645
300-450,342.3103032211574,AP_MHCII_proxy,19377,-0.17608969851103667,-0.05546706228669139,0.0031247195731256014,-0.06159151265001757,-0.04934261192336521
300-450,342.3103032211574,IFN_response,19377,-0.15740122242167007,-0.0658421269339583,0.0023520060428719796,-0.07045205877798738,-0.06123219508992922
300-450,342.3103032211574,TLS_chemokine,19377,-0.1088472625413905,-0.04073031864490033,0.0024687788889325487,-0.045569125267208126,-0.03589151202259253
300-450,342.3103032211574,tumor_proliferation,19377,-0.2651848279886006,-0.11615252995027377,0.00292382542138791,-0.12188322777619406,-0.11042183212435347
300-450,342.3103032211574,tumor_EMT_invasion,19377,-0.1488584423960205,-0.043007988102232296,0.0028607524647204403,-0.04861506293308436,-0.03740091327138023
450-650,508.6000661925433,TLS_integrated,3390,-0.08838780025696436,-0.040321105338186856,0.003976153545771562,-0.04811436628789912,-0.03252784438847459
450-650,508.6000661925433,mregDC,3390,-0.08143928000128539,-0.022019822138756088,0.004559738251311898,-0.030956909111327407,-0.013082735166184769
450-650,508.6000661925433,AP_MHCII_proxy,3390,-0.17608969851103667,-0.043079333660984535,0.0077386903794064415,-0.05824716680462116,-0.027911500517347913
450-650,508.6000661925433,IFN_response,3390,-0.15740122242167007,-0.07484723567592297,0.004711938733797707,-0.08408263559416647,-0.06561183575767947
450-650,508.6000661925433,TLS_chemokine,3390,-0.1088472625413905,-0.03964483919656362,0.006009426025379201,-0.05142331420630686,-0.027866364186820387
450-650,508.6000661925433,tumor_proliferation,3390,-0.2651848279886006,-0.12167947316726188,0.00603810070255122,-0.13351415054426227,-0.10984479579026149
450-650,508.6000661925433,tumor_EMT_invasion,3390,-0.1488584423960205,-0.06030153999094484,0.006298526735622797,-0.07264665239276552,-0.04795642758912416
650-900,691.4091915341121,TLS_integrated,322,-0.08838780025696436,-0.04594260999421699,0.011398948769524783,-0.06828454958248556,-0.023600670405948414
650-900,691.4091915341121,mregDC,322,-0.08143928000128539,-0.0034690620076891455,0.01567904632602812,-0.03419999280670426,0.027261868791325965
650-900,691.4091915341121,AP_MHCII_proxy,322,-0.17608969851103667,-0.018493873593562533,0.025724131176042882,-0.06891317069860659,0.03192542351148151
650-900,691.4091915341121,IFN_response,322,-0.15740122242167007,-0.05669421855341234,0.015505449823497462,-0.08708490020746737,-0.026303536899357313
650-900,691.4091915341121,TLS_chemokine,322,-0.1088472625413905,-0.09745821852239028,0.007115338151954182,-0.11140428130022048,-0.08351215574456008
650-900,691.4091915341121,tumor_proliferation,322,-0.2651848279886006,-0.12236120652866118,0.017780556843787543,-0.15721109794248478,-0.08751131511483759
650-900,691.4091915341121,tumor_EMT_invasion,322,-0.1488584423960205,-0.039286741530443405,0.021294273103438746,-0.08102351681318334,0.002450033752296535
>900,929.814162771567,TLS_integrated,10,-0.08838780025696436,0.05599526248934574,0.1369738001488037,-0.21247338580230954,0.324463910781001
>900,929.814162771567,mregDC,10,-0.08143928000128539,-0.08143928000128539,0.0,-0.08143928000128539,-0.08143928000128539
>900,929.814162771567,AP_MHCII_proxy,10,-0.17608969851103667,-0.17608969851103667,0.0,-0.17608969851103667,-0.17608969851103667
>900,929.814162771567,IFN_response,10,-0.15740122242167007,0.14959120013493615,0.23201050646226945,-0.30514939253111195,0.6043317928009843
>900,929.814162771567,TLS_chemokine,10,-0.1088472625413905,0.23177934401033537,0.32314677250724605,-0.40158833010386685,0.8651470181245376
>900,929.814162771567,tumor_proliferation,10,-0.2651848279886006,-0.26518482798860055,1.7554167342883506e-17,-0.2651848279886006,-0.2651848279886005
>900,929.814162771567,tumor_EMT_invasion,10,-0.1488584423960205,-0.072831197739369,0.07212577720256545,-0.21419772105639728,0.06853532557765929
