dataset,sample_id,sample_panel,x,y,class
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5193,2176,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5337,2176,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5482,2177,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5626,2177,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5698,2051,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5770,2177,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5843,2052,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5915,2177,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5987,2052,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6059,2178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6132,2052,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6204,2178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6276,2052,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6348,2178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6492,2178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4471,2426,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4615,2427,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4759,2427,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4832,2301,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4904,2427,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4976,2302,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5048,2427,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5120,2302,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5192,2427,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5265,2302,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5337,2428,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5409,2302,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5481,2428,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5554,2302,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5626,2428,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5698,2303,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5770,2428,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5842,2303,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5914,2429,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5987,2303,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6059,2429,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6131,2303,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6203,2429,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6276,2304,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6348,2429,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6420,2304,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6492,2430,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6564,2304,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6636,2430,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6709,2304,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6781,2430,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6925,2430,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7069,2430,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7286,2305,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7936,2432,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3893,2677,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4037,2677,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4109,2551,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4181,2677,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4254,2552,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4326,2677,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4398,2552,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4470,2678,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4543,2552,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4615,2678,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4687,2552,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4759,2678,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4831,2553,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4903,2678,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4976,2553,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5048,2678,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5120,2553,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5192,2679,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5264,2553,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5336,2679,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5409,2553,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5481,2679,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5553,2554,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5625,2679,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5698,2554,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5770,2680,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5842,2554,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5914,2680,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5986,2554,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6058,2680,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6131,2555,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6203,2680,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6275,2555,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6347,2681,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6420,2555,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6492,2681,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6564,2555,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6636,2681,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6708,2555,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6780,2681,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6853,2556,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6925,2681,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6997,2556,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7069,2682,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7141,2556,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7213,2682,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7286,2556,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7358,2682,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7430,2557,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7502,2682,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7575,2557,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7647,2683,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7719,2557,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7791,2683,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8008,2558,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8080,2683,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8152,2558,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8224,2683,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8296,2558,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8368,2684,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3459,2927,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3604,2927,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3676,2802,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3748,2928,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3820,2802,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3892,2928,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3965,2802,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4037,2928,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4109,2803,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4181,2928,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4253,2803,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4325,2929,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4398,2803,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4470,2929,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4542,2803,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4614,2929,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4687,2804,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4759,2929,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4831,2804,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4903,2929,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4975,2804,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5047,2930,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5120,2804,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5192,2930,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5264,2804,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5336,2930,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5408,2805,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5480,2930,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5553,2805,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5625,2931,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5697,2805,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5769,2931,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5842,2805,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5914,2931,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,5986,2806,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6058,2931,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6130,2806,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6202,2932,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6275,2806,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6347,2932,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6419,2806,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6491,2932,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6563,2806,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6635,2932,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6708,2807,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6780,2932,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6852,2807,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6924,2933,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,6997,2807,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7069,2933,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7141,2807,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7213,2933,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7285,2808,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7357,2933,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7430,2808,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7502,2934,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7574,2808,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,7646,2934,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8007,2809,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8152,2809,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8296,2809,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8368,2935,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,8946,2936,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3170,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3314,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3387,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3459,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3531,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3603,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3676,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3747,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3820,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3892,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3964,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4036,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4109,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4181,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4253,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4325,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4397,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4469,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4542,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4614,3180,background
