layer,label,x,y,controls,n,raw_spearman_rho,raw_spearman_p,partial_spearman_rho,partial_spearman_p,status
TCGA patient,mregDC vs TLS | core controls,mregDC_extended_score,TLS_integrated_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.8364909851324894,4.36340286819792e-113,0.2875743641152615,1.4186608851301948e-09,ok
TCGA patient,mregDC vs TLS | +APC/myeloid control,mregDC_extended_score,TLS_integrated_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.8364909851324894,4.36340286819792e-113,0.3124103039050814,4.0374408043531895e-11,ok
TCGA patient,mregDC vs AP/MHC-II | core controls,mregDC_extended_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.722091396240165,5.2370241563358485e-70,0.24935418634279677,1.7870167683970243e-07,ok
TCGA patient,mregDC vs AP/MHC-II | +APC/myeloid control,mregDC_extended_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.722091396240165,5.2370241563358485e-70,0.258615083354459,5.931875922157722e-08,ok
TCGA patient,TLS vs AP/MHC-II | core controls,TLS_integrated_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.5941703538220282,4.2016083859350677e-42,-0.09474064213504321,0.05042014230648971,ok
TCGA patient,TLS vs AP/MHC-II | +APC/myeloid control,TLS_integrated_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.5941703538220282,4.2016083859350677e-42,-0.10056610268459888,0.03777637953026181,ok
TCGA patient,axis vs AP/MHC-II | core controls,MregDC_TLS_axis_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.8204461948649149,2.9998214924187413e-105,0.5467360621164715,1.1828418646704025e-34,ok
TCGA patient,axis vs AP/MHC-II | +APC/myeloid control,MregDC_TLS_axis_score,AP_MHCII_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.8204461948649149,2.9998214924187413e-105,0.5460199627665047,1.5011983515268255e-34,ok
TCGA patient,axis vs B follicle | core controls,MregDC_TLS_axis_score,B_cell_follicle_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.4325260587579406,6.799256056090444e-21,0.18633029930301923,0.00010749990553416475,ok
TCGA patient,axis vs B follicle | +APC/myeloid control,MregDC_TLS_axis_score,B_cell_follicle_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.4325260587579406,6.799256056090444e-21,0.1845436069197619,0.00012545353745640719,ok
TCGA patient,axis vs T zone | core controls,MregDC_TLS_axis_score,T_cell_zone_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.8970419729962431,8.242814771080814e-153,0.4679401357101985,1.2760681163581552e-24,ok
TCGA patient,axis vs T zone | +APC/myeloid control,MregDC_TLS_axis_score,T_cell_zone_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.8970419729962431,8.242814771080814e-153,0.4670758385974127,1.592577392763189e-24,ok
multi-sample spatial spot,mregDC vs TLS | spot controls,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,41867,0.2583502734946994,0.0,0.13513881899523028,7.997801319623044e-170,ok
multi-sample spatial spot,mregDC vs AP/MHC-II | spot controls,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,41867,0.2477560201023276,0.0,0.13592041198197613,8.678808507229839e-172,ok
multi-sample spatial spot,TLS vs AP/MHC-II | spot controls,TLS_integrated_score,AP_MHCII_score,mregDC_score;B_cell_TLS_score;T_cell_zone_score,41867,0.34848708009591123,0.0,0.22386063107037787,0.0,ok
spatial spot by dataset,10x_human_ovarian_cancer_ffpe_visium: mregDC vs TLS,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,3455,0.5802550164101306,3.5967247697664e-310,0.22056436799662055,2.468817765271672e-39,ok
spatial spot by dataset,10x_human_ovarian_cancer_ffpe_visium: mregDC vs AP/MHC-II,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,3455,0.6307934353905486,0.0,0.36197010732813817,1.8692171725681647e-107,ok
spatial spot by dataset,GSE211956: mregDC vs TLS,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,12000,0.20375007430540787,1.216891910323834e-112,0.1195078164380032,2.0163942456024986e-39,ok
spatial spot by dataset,GSE211956: mregDC vs AP/MHC-II,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,12000,0.18588330620079033,9.530078692204891e-94,0.10805704202947979,1.6827060305165247e-32,ok
spatial spot by dataset,GSE224335: mregDC vs TLS,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,2412,0.09681221638635196,1.9037628910624687e-06,0.06225181043596,0.002222995202378308,ok
spatial spot by dataset,GSE224335: mregDC vs AP/MHC-II,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,2412,0.14100755966651285,3.4914605992724822e-12,0.11327865801394384,2.4269273038777097e-08,ok
spatial spot by dataset,GSE274657: mregDC vs TLS,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,12000,0.14782110912661434,1.3505404097765467e-59,0.09104434911084214,1.6334315019629316e-23,ok
spatial spot by dataset,GSE274657: mregDC vs AP/MHC-II,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,12000,0.1600938245653964,1.0262408604527219e-69,0.08764939135782622,6.645771742609244e-22,ok
spatial spot by dataset,GSE288483: mregDC vs TLS,mregDC_score,TLS_integrated_score,AP_MHCII_score;B_cell_TLS_score;T_cell_zone_score,12000,0.2905120847220294,4.781709094233847e-232,0.17197346632439475,2.576154059997698e-80,ok
spatial spot by dataset,GSE288483: mregDC vs AP/MHC-II,mregDC_score,AP_MHCII_score,TLS_integrated_score;B_cell_TLS_score;T_cell_zone_score,12000,0.25604725413711166,6.179704876462655e-179,0.15412281344334175,1.0952236754170837e-64,ok
Xenium cell,Xenium mregDC vs TLS | AP/IFN/tumor controls,mregDC,TLS_integrated,AP_MHCII_proxy;IFN_response;tumor_proliferation;tumor_EMT_invasion,149723,-0.04072828663880589,5.346033343397645e-56,-0.025003134736824903,3.8075327268686303e-22,ok
Xenium cell,Xenium mregDC vs AP/MHC-II | TLS/IFN/tumor controls,mregDC,AP_MHCII_proxy,TLS_integrated;IFN_response;tumor_proliferation;tumor_EMT_invasion,149723,0.16990001416650566,0.0,0.1525269492612773,0.0,ok
Xenium cell,Xenium TLS vs AP/MHC-II | mregDC/IFN/tumor controls,TLS_integrated,AP_MHCII_proxy,mregDC;IFN_response;tumor_proliferation;tumor_EMT_invasion,149723,-0.10478018560684413,0.0,-0.10890136939854464,0.0,ok
