dataset,dataset_label,sample_id,sample_short,marker,available,evidence_source,nonmissing_spots_or_cells,positive_spots_or_cells,note
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD86,True,coverage_table+spot_expression_column,1751.0,56.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD274,True,coverage_table+spot_expression_column,1751.0,38.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,PDCD1LG2,True,coverage_table+spot_expression_column,1751.0,15.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,ITGAX,True,coverage_table+spot_expression_column,2129.0,129.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRA,True,coverage_table+spot_expression_column,2129.0,1684.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD74,True,coverage_table+spot_expression_column,2129.0,2020.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,LAMP3,True,coverage_table+spot_expression_column,2129.0,14.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CCR7,True,coverage_table+spot_expression_column,2129.0,3.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD40,True,coverage_table+spot_expression_column,2129.0,449.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD80,True,coverage_table+spot_expression_column,2129.0,1.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD86,True,coverage_table+spot_expression_column,2129.0,56.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD274,True,coverage_table+spot_expression_column,2129.0,15.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,PDCD1LG2,True,coverage_table+spot_expression_column,2129.0,8.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,ITGAX,True,coverage_table+spot_expression_column,1514.0,30.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DRA,True,coverage_table+spot_expression_column,1514.0,996.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD74,True,coverage_table+spot_expression_column,1514.0,1398.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,LAMP3,True,coverage_table+spot_expression_column,1514.0,17.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CCR7,True,coverage_table+spot_expression_column,1514.0,10.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD40,True,coverage_table+spot_expression_column,1514.0,81.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD80,True,coverage_table+spot_expression_column,1514.0,0.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD86,True,coverage_table+spot_expression_column,1514.0,46.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CD274,True,coverage_table+spot_expression_column,1514.0,13.0,
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,PDCD1LG2,True,coverage_table+spot_expression_column,1514.0,6.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,ITGAX,True,coverage_table+spot_expression_column,898.0,45.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DRA,True,coverage_table+spot_expression_column,898.0,552.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD74,True,coverage_table+spot_expression_column,898.0,845.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,LAMP3,True,coverage_table+spot_expression_column,898.0,0.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CCR7,True,coverage_table+spot_expression_column,898.0,8.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD40,True,coverage_table+spot_expression_column,898.0,67.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD80,True,coverage_table+spot_expression_column,898.0,2.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD86,True,coverage_table+spot_expression_column,898.0,26.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CD274,True,coverage_table+spot_expression_column,898.0,11.0,
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,PDCD1LG2,True,coverage_table+spot_expression_column,898.0,2.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,ITGAX,True,coverage_table+spot_expression_column,3254.0,1731.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD74,True,coverage_table+spot_expression_column,3254.0,3224.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,LAMP3,True,coverage_table+spot_expression_column,3254.0,548.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CCR7,True,coverage_table+spot_expression_column,3254.0,261.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD40,True,coverage_table+spot_expression_column,3254.0,1547.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD80,True,coverage_table+spot_expression_column,3254.0,370.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD86,True,coverage_table+spot_expression_column,3254.0,953.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,CD274,True,coverage_table+spot_expression_column,3254.0,469.0,
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,PDCD1LG2,True,coverage_table+spot_expression_column,3254.0,437.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,ITGAX,True,coverage_table+spot_expression_column,3649.0,101.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD74,True,coverage_table+spot_expression_column,3649.0,2296.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,LAMP3,True,coverage_table+spot_expression_column,3649.0,109.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CCR7,True,coverage_table+spot_expression_column,3649.0,10.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD40,True,coverage_table+spot_expression_column,3649.0,68.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD80,True,coverage_table+spot_expression_column,3649.0,17.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD86,True,coverage_table+spot_expression_column,3649.0,30.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD274,True,coverage_table+spot_expression_column,3649.0,29.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,PDCD1LG2,True,coverage_table+spot_expression_column,3649.0,9.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,ITGAX,True,coverage_table+spot_expression_column,3904.0,294.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD74,True,coverage_table+spot_expression_column,3904.0,3833.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,LAMP3,True,coverage_table+spot_expression_column,3904.0,301.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CCR7,True,coverage_table+spot_expression_column,3904.0,14.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD40,True,coverage_table+spot_expression_column,3904.0,427.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD80,True,coverage_table+spot_expression_column,3904.0,63.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD86,True,coverage_table+spot_expression_column,3904.0,160.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD274,True,coverage_table+spot_expression_column,3904.0,80.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,PDCD1LG2,True,coverage_table+spot_expression_column,3904.0,49.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,ITGAX,True,coverage_table+spot_expression_column,1193.0,1036.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD74,True,coverage_table+spot_expression_column,1193.0,1193.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,LAMP3,True,coverage_table+spot_expression_column,1193.0,673.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CCR7,True,coverage_table+spot_expression_column,1193.0,113.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD40,True,coverage_table+spot_expression_column,1193.0,1169.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD80,True,coverage_table+spot_expression_column,1193.0,372.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD86,True,coverage_table+spot_expression_column,1193.0,769.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD274,True,coverage_table+spot_expression_column,1193.0,492.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,PDCD1LG2,True,coverage_table+spot_expression_column,1193.0,352.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,ITGAX,True,coverage_table+spot_expression_column,2610.0,877.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRA,True,coverage_table+spot_expression_column,2610.0,2551.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD74,True,coverage_table+spot_expression_column,2610.0,2603.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,LAMP3,True,coverage_table+spot_expression_column,2610.0,273.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CCR7,True,coverage_table+spot_expression_column,2610.0,46.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD40,True,coverage_table+spot_expression_column,2610.0,1044.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD80,True,coverage_table+spot_expression_column,2610.0,53.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD86,True,coverage_table+spot_expression_column,2610.0,304.0,
